"Object Designation","Year Range","Potential Impacts","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2023 MW5)","2051-2122","37","5.4e-5","7.11","27.0","0.013","-5.57","-6.25","0","bK23M05W"
"(2023 XU5)","2088-2115","51","6.2e-5","8.41","27.2","0.012","-5.57","-5.77","0","bK23X05U"
"(2018 YH2)","2031-2120","31","1.4e-7","9.69","23.1","0.082","-5.58","-6.03","0","bK18Y02H"
"(2009 FG)","2042-2122","71","5.9e-6","9.12","25.5","0.027","-5.58","-6.03","0","bK09F00G"
"(2016 TY55)","2074-2121","31","4.2e-5","4.61","26.9","0.014","-5.58","-5.69","0","bK16T55Y"
"(2010 TW149)","2071-2107","32","6.8e-6","17.07","25.9","0.023","-5.58","-6.29","0","bK10TE9W"
"(2018 EV3)","2081-2121","13","5.0e-5","12.58","27.1","0.013","-5.59","-5.65","0","bK18E03V"
"(2023 RH2)","2092-2121","3","7.3e-7","22.19","23.9","0.056","-5.59","-5.68","0","bK23R02H"
"(2022 KK2)","2060-2122","33","1.2e-4","15.57","28.4","0.007","-5.60","-5.80","0","bK22K02K"
"(2009 BF58)","2060-2122","59","5.8e-5","6.68","27.2","0.012","-5.60","-6.03","0","bK09B58F"
"(2018 FE4)","2098-2106","4","1.5e-6","20.69","24.7","0.039","-5.60","-5.86","0","bK18F04E"
"(2020 ED)","2096-2120","7","4.3e-5","7.09","26.9","0.014","-5.61","-5.76","0","bK20E00D"
"(2021 RR14)","2089-2119","15","5.6e-5","3.09","26.9","0.014","-5.61","-5.83","0","bK21R14R"
"(2018 HW1)","2105-2122","16","1.8e-5","4.74","25.8","0.024","-5.61","-5.67","0","bK18H01W"
"(2011 FQ6)","2053-2115","32","6.6e-5","10.50","27.7","0.010","-5.61","-5.74","0","bK11F06Q"
"(2019 UT)","2099-2120","14","1.1e-4","10.90","27.9","0.009","-5.62","-5.94","0","bK19U00T"
"(2009 TD17)","2039-2121","142","3.8e-5","6.58","27.7","0.010","-5.62","-5.84","0","bK09T17D"
"(2024 BZ15)","2031-2121","29","4.2e-6","11.31","26.3","0.018","-5.62","-5.75","0","bK24B15Z"
"(2016 NK22)","2084-2122","177","4.7e-4","6.88","28.9","0.005","-5.62","-5.84","0","bK16N22K"
"(2017 UL7)","2041-2054","2","3.6e-7","16.22","24.4","0.045","-5.63","-5.71","0","bK17U07L"
"(2010 UH)","2061-2122","70","5.5e-5","6.74","27.1","0.013","-5.64","-5.86","0","bK10U00H"
"(2011 MD)","2098-2122","29","2.0e-4","1.48","28.0","0.008","-5.64","-6.18","0","bK11M00D"
"(2020 UT4)","2045-2121","36","4.3e-5","17.92","28.2","0.008","-5.64","-6.08","0","bK20U04T"
